invention,inventionLabel,inventorCount
http://www.wikidata.org/entity/Q95742079,"Letno-Issledovatelʹskij Institut Imeni M. M. Gromova, 1941-2001 : sobytija, ljudi ; [k 60-letiju LII Im. M. M. Gromova]",3
http://www.wikidata.org/entity/Q96655105,Flight safety and language of operating documentation,3
http://www.wikidata.org/entity/Q18981,Apple I,2
http://www.wikidata.org/entity/Q3017175,Apple II,2
http://www.wikidata.org/entity/Q13443401,invention of telephone,2
http://www.wikidata.org/entity/Q171433,Dolly the Sheep,2
http://www.wikidata.org/entity/Q95741266,Letnye issledovanii︠a︡ i ispytanii︠a︡ : fragmenty istorii i sovremennoe sostoi︠a︡nie : nauchno-tekhnicheskiĭ sbornik,2
http://www.wikidata.org/entity/Q13043846,pulse-code modulation,2
http://www.wikidata.org/entity/Q185757,hovercraft,2
http://www.wikidata.org/entity/Q1551574,hot air balloon,2
http://www.wikidata.org/entity/Q7628648,Stump-jump plough,2
http://www.wikidata.org/entity/Q116167015,Hancock Aortic Tissue Valve,2
http://www.wikidata.org/entity/Q7920564,Venus for Men,2
http://www.wikidata.org/entity/Q28464660,Loftin-White amplifier,2
http://www.wikidata.org/entity/Q47450980,Crozat System,2
http://www.wikidata.org/entity/Q96106960,Logistic support analysis : theory and practice,2
http://www.wikidata.org/entity/Q22078103,Zep Solar,2
http://www.wikidata.org/entity/Q466,World Wide Web,1
http://www.wikidata.org/entity/Q8777,HTTP,1
http://www.wikidata.org/entity/Q8811,HTML,1
